date,symbol,code,close,prev_close
2025-06-17,BRIGADE,532929,1176.85,1194.65
2025-06-17,GOLDIAM,526729,357.15,363.15
2025-06-17,GUJINJEC,524238,21.98,21.71
2025-06-17,HDFCBANK,500180,1929.6,1935.05
2025-06-17,MINOLTAF,532164,1.36,1.3
2025-06-17,TRIVENI,532356,401.8,413.2
2025-06-18,BRIGADE,532929,1170.75,1176.85
2025-06-18,GOLDIAM,526729,363.35,357.15
2025-06-18,GUJINJEC,524238,23.07,21.98
2025-06-18,HDFCBANK,500180,1933.9,1929.6
2025-06-18,MINOLTAF,532164,1.42,1.36
2025-06-18,TRIVENI,532356,401.85,401.8
2025-06-19,BRIGADE,532929,1133.75,1170.75
2025-06-19,GOLDIAM,526729,348.9,363.35
2025-06-19,GUJINJEC,524238,24.22,23.07
2025-06-19,HDFCBANK,500180,1934.8,1933.9
2025-06-19,MINOLTAF,532164,1.49,1.42
2025-06-19,TRIVENI,532356,392.7,401.85
2025-06-20,BRIGADE,532929,1144.55,1133.75
2025-06-20,GOLDIAM,526729,346.65,348.9
2025-06-20,GUJINJEC,524238,25.43,24.22
2025-06-20,HDFCBANK,500180,1965.7,1934.8
2025-06-20,MINOLTAF,532164,1.42,1.49
2025-06-20,TRIVENI,532356,392.65,392.7
2025-06-23,BRIGADE,532929,1143.7,1144.55
2025-06-23,GOLDIAM,526729,342.55,346.65
2025-06-23,GUJINJEC,524238,26.3,25.43
2025-06-23,HDFCBANK,500180,1947.8,1965.7
2025-06-23,MINOLTAF,532164,1.49,1.42
2025-06-23,TRIVENI,532356,391.15,392.65
2025-06-24,BRIGADE,532929,1145.75,1143.7
2025-06-24,GOLDIAM,526729,342.6,342.55
2025-06-24,GUJINJEC,524238,25.31,26.3
2025-06-24,HDFCBANK,500180,1960.5,1947.8
2025-06-24,MINOLTAF,532164,1.56,1.49
2025-06-24,TRIVENI,532356,386.95,391.15
2025-06-25,BRIGADE,532929,1156.85,1145.75
2025-06-25,GOLDIAM,526729,344.25,342.6
2025-06-25,GUJINJEC,524238,25.02,25.31
2025-06-25,HDFCBANK,500180,1980.2,1960.5
2025-06-25,MINOLTAF,532164,1.49,1.56
2025-06-25,TRIVENI,532356,392.9,386.95
2025-06-26,BRIGADE,532929,1128.2,1156.85
2025-06-26,GOLDIAM,526729,342.0,344.25
2025-06-26,GUJINJEC,524238,25.16,25.02
2025-06-26,HDFCBANK,500180,2023.0,1980.2
2025-06-26,MINOLTAF,532164,1.42,1.49
2025-06-26,TRIVENI,532356,384.9,392.9
2025-06-27,BRIGADE,532929,1110.25,1128.2
2025-06-27,GOLDIAM,526729,345.05,342.0
2025-06-27,GUJINJEC,524238,24.55,25.16
2025-06-27,HDFCBANK,500180,2014.4,2023.0
2025-06-27,TRIVENI,532356,383.1,384.9
2025-06-30,BRIGADE,532929,1109.95,1110.25
2025-06-30,GOLDIAM,526729,343.9,345.05
2025-06-30,GUJINJEC,524238,24.66,24.55
2025-06-30,HDFCBANK,500180,2000.7,2014.4
2025-06-30,MINOLTAF,532164,1.35,1.42
2025-06-30,TRIVENI,532356,379.55,383.1
2025-07-01,BRIGADE,532929,1095.15,1109.95
2025-07-01,GOLDIAM,526729,343.45,343.9
2025-07-01,GUJINJEC,524238,24.58,24.66
2025-07-01,HDFCBANK,500180,2011.95,2000.7
2025-07-01,MINOLTAF,532164,1.34,1.35
2025-07-01,TRIVENI,532356,377.3,379.55
2025-07-02,BRIGADE,532929,1057.95,1095.15
2025-07-02,GOLDIAM,526729,341.95,343.45
2025-07-02,GUJINJEC,524238,24.78,24.58
2025-07-02,HDFCBANK,500180,1985.7,2011.95
2025-07-02,MINOLTAF,532164,1.28,1.34
2025-07-02,TRIVENI,532356,376.15,377.3
2025-07-03,BRIGADE,532929,1051.5,1057.95
2025-07-03,GOLDIAM,526729,342.55,341.95
2025-07-03,GUJINJEC,524238,24.7,24.78
2025-07-03,HDFCBANK,500180,1985.65,1985.7
2025-07-03,TRIVENI,532356,377.0,376.15
2025-07-04,BRIGADE,532929,1073.0,1051.5
2025-07-04,GOLDIAM,526729,347.55,342.55
2025-07-04,GUJINJEC,524238,24.26,24.7
2025-07-04,HDFCBANK,500180,1989.25,1985.65
2025-07-04,MINOLTAF,532164,1.23,1.28
2025-07-04,TRIVENI,532356,375.1,377.0
2025-07-07,BRIGADE,532929,1090.75,1073.0
2025-07-07,GOLDIAM,526729,343.4,347.55
2025-07-07,GUJINJEC,524238,24.22,24.26
2025-07-07,HDFCBANK,500180,1987.25,1989.25
2025-07-07,MINOLTAF,532164,1.17,1.23
2025-07-07,TRIVENI,532356,371.6,375.1
2025-07-08,BRIGADE,532929,1121.7,1090.75
2025-07-08,GOLDIAM,526729,345.55,343.4
2025-07-08,GUJINJEC,524238,23.49,24.22
2025-07-08,HDFCBANK,500180,2001.5,1987.25
2025-07-08,MINOLTAF,532164,1.12,1.17
2025-07-08,TRIVENI,532356,369.5,371.6
2025-07-09,BRIGADE,532929,1077.85,1121.7
2025-07-09,GOLDIAM,526729,345.55,345.55
2025-07-09,GUJINJEC,524238,22.99,23.49
2025-07-09,HDFCBANK,500180,2010.6,2001.5
2025-07-09,TRIVENI,532356,368.3,369.5
2025-07-10,BRIGADE,532929,1079.55,1077.85
2025-07-10,GOLDIAM,526729,342.05,345.55
2025-07-10,GUJINJEC,524238,22.3,22.99
2025-07-10,HDFCBANK,500180,2006.45,2010.6
2025-07-10,TRIVENI,532356,369.4,368.3
2025-07-11,BRIGADE,532929,1063.9,1079.55
2025-07-11,GOLDIAM,526729,339.7,342.05
2025-07-11,GUJINJEC,524238,22.95,22.3
2025-07-11,HDFCBANK,500180,1983.55,2006.45
2025-07-11,MINOLTAF,532164,1.07,1.12
2025-07-11,TRIVENI,532356,366.4,369.4
2025-07-14,BRIGADE,532929,1084.9,1063.9
2025-07-14,GOLDIAM,526729,336.45,339.7
2025-07-14,GUJINJEC,524238,23.24,22.95
2025-07-14,HDFCBANK,500180,1983.0,1983.55
2025-07-14,TRIVENI,532356,365.05,366.4
2025-07-15,BRIGADE,532929,1091.15,1084.9
2025-07-15,GOLDIAM,526729,343.25,336.45
2025-07-15,GUJINJEC,524238,24.15,23.24
2025-07-15,HDFCBANK,500180,1995.3,1983.0
2025-07-15,MINOLTAF,532164,1.07,1.07
2025-07-15,TRIVENI,532356,363.9,365.05
2025-07-16,BRIGADE,532929,1114.55,1091.15
2025-07-16,GOLDIAM,526729,341.9,343.25
2025-07-16,GUJINJEC,524238,23.64,24.15
2025-07-16,HDFCBANK,500180,1996.2,1995.3
